"Zaman damgası","Cinsiyetiniz","Bölümünüz"," [Kız/Erkek arkadaşımın  sosyal medya kullanımı onun hakkındaki fikirlerimi etkiler.]"," [Kız/Erkek arkadaşım telefonumu istediği gibi kurcalayabilir.]"," [İlk buluşmada hesap ortak olarak ödenmeli.]"," [Kız/Erkek arkadaşım ben olmadan gece eğlenmeye çıkabilir.]"," [Kız/Erkek arkadaşım giyimime karışabilir.]"," [Kız/Erkek arkadaşımın karşı cinsten yakın arkadaşı olabilir.]"," [Kız/Erkek arkadaşımın önceki ilişkileri benim için önemsizdir.]","Kız/Erkek arkadaşı seçiminde hangi faktör sizin için en önemlisidir?","Kız/Erkek arkadaşı seçiminde hangi özellikleri önemsiyorsunuz?","Kız/Erkek ilişkilerinde başarının anahtarı sizce nedir?","Kaç tane romantik ilişkiniz oldu.","En uzun ilişkiniz ne kadar sürdü? (ay)","Kız / Erkek arkadaşınızla bir ayda yaklaşık kaç gün görüşüyorsunuz?"
"2023/05/08 9:25:11 ÖS GMT+3","Kadın","İstatistik","2","4","3","2","2","1 (Kesinlikle Katılmıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","16","5"
"2023/05/08 9:25:38 ÖS GMT+3","Kadın","Kimya","3","2","4","4","1 (Kesinlikle Katılmıyorum)","3","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 9:28:17 ÖS GMT+3","Kadın","İstatistik","4","3","5 (Kesinlikle Katılıyorum)","4","4","4","4","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","2","18 ","4"
"2023/05/08 9:29:25 ÖS GMT+3","Kadın","İstatistik","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","4","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","2","20"
"2023/05/08 9:29:30 ÖS GMT+3","Kadın","İstatistik","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","1 (Kesinlikle Katılmıyorum)","2","4","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 9:30:47 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","4","4","1 (Kesinlikle Katılmıyorum)","4","3","1 (Kesinlikle Katılmıyorum)","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","8","8","2"
"2023/05/08 9:30:53 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","İletişim becerileri","2","17","6"
"2023/05/08 9:35:37 ÖS GMT+3","Kadın","Kimya","5 (Kesinlikle Katılıyorum)","3","2","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","3","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","6","4"
"2023/05/08 9:36:00 ÖS GMT+3","Erkek","İstatistik","3","1 (Kesinlikle Katılmıyorum)","3","4","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","3","16","9"
"2023/05/08 9:37:33 ÖS GMT+3","Kadın","İstatistik","3","1 (Kesinlikle Katılmıyorum)","4","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","3","24","5"
"2023/05/08 9:38:09 ÖS GMT+3","Kadın","İstatistik","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","2","18","15"
"2023/05/08 9:42:20 ÖS GMT+3","Kadın","İstatistik","1 (Kesinlikle Katılmıyorum)","3","3","2","2","4","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","16","12"
"2023/05/08 9:45:17 ÖS GMT+3","Erkek","İstatistik","1 (Kesinlikle Katılmıyorum)","3","3","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","2","15","30"
"2023/05/08 9:47:14 ÖS GMT+3","Erkek","İstatistik","1 (Kesinlikle Katılmıyorum)","3","5 (Kesinlikle Katılıyorum)","3","2","4","4","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Yalan söylememesi","Karşılıklı sevgi ve anlayış","0","3","0"
"2023/05/08 9:47:22 ÖS GMT+3","Erkek","İstatistik","4","3","5 (Kesinlikle Katılıyorum)","4","2","3","3","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Yalan söylememesi","Karşılıklı sevgi ve anlayış","2","6","16"
"2023/05/08 9:47:51 ÖS GMT+3","Kadın","İstatistik","2","3","5 (Kesinlikle Katılıyorum)","3","2","2","4","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","3","36","15"
"2023/05/08 9:50:15 ÖS GMT+3","Erkek","İstatistik","1 (Kesinlikle Katılmıyorum)","3","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 9:52:57 ÖS GMT+3","Kadın","İstatistik","3","4","5 (Kesinlikle Katılıyorum)","4","2","3","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","8","25"
"2023/05/08 9:53:11 ÖS GMT+3","Kadın","İstatistik","3","2","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","2","Kişinin karakteri ve kişilik özellikleri","İyi bir dinleyici olması","Karşılıklı sevgi ve anlayış","3","27","6"
"2023/05/08 9:53:28 ÖS GMT+3","Kadın","İstatistik","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","2","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","4","20","20"
"2023/05/08 9:53:36 ÖS GMT+3","Erkek","İstatistik","4","1 (Kesinlikle Katılmıyorum)","3","2","2","4","3","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Mizah duygusunun olması","Ortak ilgi ve hobiler","1","6 ","12"
"2023/05/08 9:53:49 ÖS GMT+3","Kadın","İstatistik","4","2","4","2","1 (Kesinlikle Katılmıyorum)","4","2","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","3","5","0"
"2023/05/08 9:53:51 ÖS GMT+3","Kadın","İstatistik","3","2","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","İletişim becerileri","1 ","4","20"
"2023/05/08 9:54:16 ÖS GMT+3","Kadın","İstatistik","2","2","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","4","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","1","7","10"
"2023/05/08 9:56:46 ÖS GMT+3","Kadın","İstatistik","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","1 (Kesinlikle Katılmıyorum)","3","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","0","95","5"
"2023/05/08 9:57:15 ÖS GMT+3","Kadın","İstatistik","3","2","4","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","2","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","1","13","20"
"2023/05/08 9:59:33 ÖS GMT+3","Erkek","İstatistik","4","2","4","3","3","3","2","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","3","6","15"
"2023/05/08 10:01:29 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","3","5 (Kesinlikle Katılıyorum)","3","2","4","2","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","2","36","7"
"2023/05/08 10:02:18 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 10:04:40 ÖS GMT+3","Kadın","İstatistik","2","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","4","5 (Kesinlikle Katılıyorum)","4","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","1","25"
"2023/05/08 10:08:45 ÖS GMT+3","Kadın","İstatistik","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","4","1 (Kesinlikle Katılmıyorum)","4","3","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Mizah duygusunun olması","İletişim becerileri","4","18","12"
"2023/05/08 10:09:36 ÖS GMT+3","Kadın","İstatistik","2","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","2","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","2","6","12"
"2023/05/08 10:14:03 ÖS GMT+3","Kadın","İstatistik","4","3","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","4","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","2","18","10"
"2023/05/08 10:14:27 ÖS GMT+3","Kadın","İstatistik","4","3","5 (Kesinlikle Katılıyorum)","3","2","4","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Ortak ilgi ve hobiler","1","3","5"
"2023/05/08 10:18:07 ÖS GMT+3","Kadın","İstatistik","3","1 (Kesinlikle Katılmıyorum)","4","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","1","7","0"
"2023/05/08 10:20:09 ÖS GMT+3","Kadın","İstatistik","5 (Kesinlikle Katılıyorum)","3","3","4","1 (Kesinlikle Katılmıyorum)","2","3","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","4","13","30"
"2023/05/08 10:21:33 ÖS GMT+3","Erkek","İstatistik","4","3","5 (Kesinlikle Katılıyorum)","3","3","4","4","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","İletişim becerileri","3","51","14"
"2023/05/08 10:24:31 ÖS GMT+3","Kadın","İstatistik","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Ortak ilgi ve hobiler","1","42","0"
"2023/05/08 10:27:02 ÖS GMT+3","Kadın","İstatistik","4","2","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","İletişim becerileri","3","2 ","5"
"2023/05/08 10:27:45 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","4","1 (Kesinlikle Katılmıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 10:28:59 ÖS GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","4","1 (Kesinlikle Katılmıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 10:36:54 ÖS GMT+3","Erkek","İstatistik","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","2","1 (Kesinlikle Katılmıyorum)","2","2","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","1","6","0"
"2023/05/08 10:37:31 ÖS GMT+3","Erkek","İstatistik","4","4","2","3","4","4","4","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Mizah duygusunun olması","İletişim becerileri","1","3","10"
"2023/05/08 10:37:44 ÖS GMT+3","Kadın","İstatistik","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","3","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Ortak ilgi ve hobiler","1","20","2"
"2023/05/08 10:52:16 ÖS GMT+3","Erkek","İstatistik","1 (Kesinlikle Katılmıyorum)","3","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/08 10:56:12 ÖS GMT+3","Erkek","İstatistik","4","2","2","2","1 (Kesinlikle Katılmıyorum)","3","3","Kişinin fiziksel özellikleri (boy, kilo, saç rengi vb.)","Yalan söylememesi","İletişim becerileri","2","6","8"
"2023/05/08 11:15:15 ÖS GMT+3","Kadın","Biyoloji","4","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","0","0","0"
"2023/05/08 11:35:40 ÖS GMT+3","Kadın","İstatistik","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","4","2","4","2","Kişinin karakteri ve kişilik özellikleri","İyi bir dinleyici olması","İletişim becerileri","3","42","10"
"2023/05/08 11:40:32 ÖS GMT+3","Kadın","İstatistik","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","30","12"
"2023/05/08 11:54:18 ÖS GMT+3","Kadın","İstatistik","3","4","2","4","2","5 (Kesinlikle Katılıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","5","11","24"
"2023/05/09 1:18:13 ÖÖ GMT+3","Kadın","Biyoloji","4","2","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","5","16","20"
"2023/05/09 1:22:40 ÖÖ GMT+3","Kadın","Kimya","2","1 (Kesinlikle Katılmıyorum)","2","1 (Kesinlikle Katılmıyorum)","2","1 (Kesinlikle Katılmıyorum)","2","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","İletişim becerileri","1","24","8"
"2023/05/09 1:30:34 ÖÖ GMT+3","Erkek","İstatistik","2","4","5 (Kesinlikle Katılıyorum)","4","3","3","4","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","3","48","25"
"2023/05/09 9:35:08 ÖÖ GMT+3","Kadın","Biyoloji","5 (Kesinlikle Katılıyorum)","2","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","1 (Kesinlikle Katılmıyorum)","2","Kişinin maddi ve ekonomik durumu","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/09 10:56:54 ÖÖ GMT+3","Kadın","Biyoloji","4","2","3","4","1 (Kesinlikle Katılmıyorum)","4","3","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","İletişim becerileri","2","7 ","10"
"2023/05/09 10:57:52 ÖÖ GMT+3","Erkek","İstatistik","5 (Kesinlikle Katılıyorum)","2","1 (Kesinlikle Katılmıyorum)","3","2","4","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","1","7 ","20"
"2023/05/09 11:00:52 ÖÖ GMT+3","Kadın","İstatistik","5 (Kesinlikle Katılıyorum)","2","2","4","2","4","4","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","2","16","20"
"2023/05/09 11:08:43 ÖÖ GMT+3","Kadın","İstatistik","4","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","4","4","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/09 11:33:30 ÖÖ GMT+3","Kadın","İstatistik","3","1 (Kesinlikle Katılmıyorum)","4","2","1 (Kesinlikle Katılmıyorum)","2","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","Karşılıklı sevgi ve anlayış","0","7","6"
"2023/05/09 2:02:35 ÖS GMT+3","Erkek","Matematik","4","1 (Kesinlikle Katılmıyorum)","3","4","3","4","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","İyi bir dinleyici olması","İletişim becerileri","2","43","24"
"2023/05/09 2:26:51 ÖS GMT+3","Erkek","Matematik","5 (Kesinlikle Katılıyorum)","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","3","2","4","3","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","İletişim becerileri","14","11","8"
"2023/05/09 2:34:45 ÖS GMT+3","Erkek","Matematik","2","2","4","4","3","3","2","Kişinin karakteri ve kişilik özellikleri","Empati yapabilmesi","Karşılıklı sevgi ve anlayış","1","6","25"
"2023/05/09 2:35:20 ÖS GMT+3","Kadın","Matematik","3","2","5 (Kesinlikle Katılıyorum)","4","1 (Kesinlikle Katılmıyorum)","2","3","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","2","5"
"2023/05/09 3:17:38 ÖS GMT+3","Kadın","İstatistik","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","2","Kişinin karakteri ve kişilik özellikleri","Benzer ilgi alanlarına sahip olması","Karşılıklı sevgi ve anlayış","1","18","15"
"2023/05/09 3:17:59 ÖS GMT+3","Kadın","İstatistik","5 (Kesinlikle Katılıyorum)","1 (Kesinlikle Katılmıyorum)","4","4","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","1","11","20"
"2023/05/09 8:49:38 ÖS GMT+3","Kadın","İstatistik","4","2","3","2","4","1 (Kesinlikle Katılmıyorum)","2","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","0","0","0"
"2023/05/10 12:43:08 ÖÖ GMT+3","Kadın","İstatistik","1 (Kesinlikle Katılmıyorum)","4","5 (Kesinlikle Katılıyorum)","2","1 (Kesinlikle Katılmıyorum)","5 (Kesinlikle Katılıyorum)","3","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Ortak ilgi ve hobiler","0","0","0"
"2023/05/10 9:12:56 ÖÖ GMT+3","Kadın","Biyoloji","3","2","3","1 (Kesinlikle Katılmıyorum)","3","1 (Kesinlikle Katılmıyorum)","1 (Kesinlikle Katılmıyorum)","Kişinin maddi ve ekonomik durumu","Yalan söylememesi","İletişim becerileri","3","24","2"
"2023/05/10 2:52:34 ÖS GMT+3","Kadın","Biyoloji","2","1 (Kesinlikle Katılmıyorum)","3","4","1 (Kesinlikle Katılmıyorum)","2","4","Kişinin maddi ve ekonomik durumu","Empati yapabilmesi","İletişim becerileri","0","0","0"
"2023/05/10 9:56:22 ÖS GMT+3","Kadın","Kimya","4","3","4","4","1 (Kesinlikle Katılmıyorum)","2","5 (Kesinlikle Katılıyorum)","Kişinin karakteri ve kişilik özellikleri","Yalan söylememesi","İletişim becerileri","2","36","25"
"2023/05/10 11:28:15 ÖS GMT+3","Kadın","İstatistik","4","1 (Kesinlikle Katılmıyorum)","2","4","1 (Kesinlikle Katılmıyorum)","2","4","Kişinin karakteri ve kişilik özellikleri","Mizah duygusunun olması","Karşılıklı sevgi ve anlayış","1","8","15"
